"selroutes","pa_corA","pa_corB","pa_corC","pa_corD","route.x","abu_corA","abu_corB","abu_corC","abu_corD","route.y"
"Route_0000050901",0.809161416008199,0.741979077506896,-0.067237843795078,-0.0282930291756696,1745,0.792914880170587,0.763300042961956,-0.241522631248225,-0.0204899157096263,1745
"Route_0000051001",0.852626668390572,0.849679996759254,0.0356122513491358,0.00802480629804298,1746,0.709538721607414,0.625452094687137,-0.164320522969749,0.160105188840449,1746
"Route_0000060101",0.853444667709347,0.828781920145484,-0.030549457983671,-0.0418509426775308,1747,0.812569844029896,0.820834319473764,0.186285079505355,-0.101664816607944,1747
"Route_0000060201",0.755473557673455,0.767056459102437,0.034159060381204,0.366154999570856,1748,0.741629373521411,0.731824370716769,0.0188043498786513,0.0811824729185945,1748
"Route_0000060301",0.804438415824909,0.844461172410945,0.131872225995989,0.295892551903749,1749,0.64677823657796,0.710419665708242,0.479811753717761,0.318657352531332,1749
"Route_0000060401",0.802282330851536,0.785492958930187,0.0769196443987825,0.117961744491112,1750,0.77812313449767,0.752599948033636,0.456256603609155,0.393599727800297,1750
"Route_0000060501",0.823293935227947,0.825481273515529,0.0885587832298568,0.256725121824648,1751,0.864976929758613,0.808518066798009,0.315357758813011,0.401955253289505,1751
"Route_0000060601",0.809427158183322,0.826521118626932,0.271965761215895,0.343483155780081,1752,0.762738155310974,0.782962019424366,-0.00229905638125118,-0.0554543911638836,1752
"Route_0000060701",0.838663678719923,0.848960560389302,0.337683373832295,0.292704523949029,1753,0.807033596466531,0.797724992215598,0.13165968227247,0.261990089775486,1753
"Route_0000060801",0.844996890397148,0.853733378915384,0.154367041728383,0.254995618650453,1754,0.852992653085195,0.834200787013231,0.369953381342516,0.287574848500199,1754
"Route_0000070101",0.715447677317266,0.638788629613387,0.451469823081031,0.267702025424285,1755,0.562560069095048,0.425819254067955,0.250789793883558,0.348985144348921,1755
"Route_0000070201",0.709694308740274,0.693763747342709,0.255466337130011,0.29832629388559,1756,0.754000999564252,0.635924986157667,0.123240861468582,0.444143724174779,1756
"Route_0000070301",0.793107516212162,0.763776237701739,0.2347344243468,0.274553835268802,1757,0.786436400354445,0.749285664166209,0.55450176422696,0.332421675281315,1757
"Route_0000070401",0.770926313910631,0.728492854214712,0.293910570886277,0.182068951253372,1758,0.741548167603762,0.678561760906565,0.464395469838084,0.213794471983137,1758
"Route_0000070501",0.649471908192856,0.547269805912784,0.279363303857246,0.195765739458133,1759,0.339082287189104,0.340765360165209,0.364619314331606,0.186867542452627,1759
"Route_0000070601",0.727732300351468,0.687540389199158,0.406324365484797,0.455023279614638,1760,0.772068093571827,0.664260649141634,0.555746366682666,0.27870008120531,1760
"Route_0000070701",0.805321041733574,0.780910063699786,0.263146654407252,0.112584995660416,1761,0.620514206552836,0.538638176935952,0.393138865932246,0.244428731972355,1761
"Route_0000070801",0.847483068102996,0.776507538470744,0.164433469385704,0.204535260993275,1762,0.705733479312807,0.575047717776461,-0.146858730201653,-0.295464120289147,1762
"Route_0000070901",0.856047440337331,0.80541607125679,0.375683253818026,0.121527057040354,1763,0.728853262757362,0.628057226383437,0.464387074287275,0.275870072424412,1763
"Route_0000071001",0.790045999565235,0.772483706311174,0.336297051085772,0.305326578951438,1764,0.804042426395752,0.713403798593883,0.108250778370146,0.29959257692212,1764
"Route_0000100548",0.730007337736214,0.716334362316552,0.261106399158969,-0.0363185583710521,1765,0.763145781400462,0.754397803222121,0.326547422927062,0.246336220293455,1765
"Route_0000100561",0.652719880565231,0.622589200905753,,,1766,0.679756253276333,0.337612346142298,,,1766
"Route_0000100577",0.789711944649252,0.74186833938178,,,1775,0.810049246060047,0.810051185903047,,,1775
"Route_0000100578",0.544440981947173,0.56655502799769,,,1776,0.702983243064255,0.71274237698761,,,1776
"Route_0000100590",0.689027807841429,0.636830244036909,,,1780,0.759577984859368,0.604245508594349,,,1780
"Route_0000100591",0.750912831856209,0.714821763681737,,,1781,0.66622305752616,0.535478687736212,,,1781
"Route_0000100595",0.612396397373699,0.61878233451294,,,1782,0.623215566987492,0.575932549266982,,,1782
"Route_0000100612",0.804374029709069,0.809060399844459,,,1783,0.567924287954993,0.4275411831764,,,1783
"Route_0000100626",0.8871971244585,0.852155808127324,,,1791,0.890164888447418,0.852166433050909,,,1791
"Route_0000100683",0.886297412802325,0.868386508594807,0.194739307972471,0.204438379135211,1808,0.900076679666558,0.887781606830176,0.362131457169822,0.208127709405003,1808
"Route_0000100720",0.837770372567059,0.82311084577676,,,1815,0.843261939714338,0.814637949630488,,,1815
"Route_0000100733",0.730234538025657,0.692847227732426,,,1817,0.805413252398485,0.740229288689622,,,1817
"Route_0000100734",0.779690336180499,0.77592993850642,0.298428106466537,0.333159154741092,1818,0.802506080681042,0.781949270328485,0.449652959223546,0.274478821627519,1818
"Route_0000100852",0.740728383491187,0.692882479810885,,,1852,0.751923317168899,0.697828252160201,,,1852
"Route_0000100853",0.733215708211016,0.667061598164505,,,1853,0.709498679458795,0.565806441160755,,,1853
"Route_0000101068",0.683328445590423,0.623279158850871,,,2045,0.728509117867567,0.661767429119695,,,2045
"Route_0300708104",0.8131657795954,0.78083146335881,0.138841551108923,0.0938346815344572,2129,0.789888485251172,0.784025610207059,0.208087597946575,-0.153462386058945,2129
"Route_0300708105",0.809224875275659,0.791604928789472,,,2130,0.789054571547423,0.782683064431224,,,2130
"Route_0300815101",0.608729042808538,0.56683812715638,0.15083488312615,-0.0344810100026678,2131,0.550808376198633,0.542719766784144,0.253826957481592,-0.0352157818741078,2131
