"Route","Year"
"Route_0000000189","Year_2012"
"Route_0000000189","Year_2013"
"Route_0000000190","Year_2010"
"Route_0000000191","Year_2008"
"Route_0000000191","Year_2009"
"Route_0000000191","Year_2014"
"Route_0000000192","Year_2007"
"Route_0000000192","Year_2010"
"Route_0000000192","Year_2014"
"Route_0000000193","Year_2008"
"Route_0000000193","Year_2011"
"Route_0000000194","Year_2009"
"Route_0000000194","Year_2012"
"Route_0000000195","Year_2009"
"Route_0000000195","Year_2012"
"Route_0000000196","Year_2009"
"Route_0000000196","Year_2011"
"Route_0000000197","Year_2006"
"Route_0000000197","Year_2012"
"Route_0000000198","Year_2006"
"Route_0000000198","Year_2012"
"Route_0000000199","Year_2009"
"Route_0000000199","Year_2014"
"Route_0000000200","Year_2006"
"Route_0000000200","Year_2011"
"Route_0000000200","Year_2014"
"Route_0000000201","Year_2006"
"Route_0000000201","Year_2013"
"Route_0000000202","Year_2009"
"Route_0000000202","Year_2012"
"Route_0000000203","Year_2008"
"Route_0000000203","Year_2009"
"Route_0000000203","Year_2010"
"Route_0000000203","Year_2011"
"Route_0000000204","Year_2007"
"Route_0000000204","Year_2011"
"Route_0000000205","Year_2007"
"Route_0000000205","Year_2011"
"Route_0000000206","Year_2009"
"Route_0000000206","Year_2010"
"Route_0000000207","Year_2009"
"Route_0000000208","Year_2009"
"Route_0000000209","Year_2008"
"Route_0000000209","Year_2014"
"Route_0000000210","Year_2010"
"Route_0000000210","Year_2014"
"Route_0000000211","Year_2008"
"Route_0000000211","Year_2013"
"Route_0000000212","Year_2008"
"Route_0000000212","Year_2011"
"Route_0000000213","Year_2007"
"Route_0000000213","Year_2011"
"Route_0000000214","Year_2006"
"Route_0000000214","Year_2013"
"Route_0000000215","Year_2006"
"Route_0000000216","Year_2010"
"Route_0000000216","Year_2013"
"Route_0000000216","Year_2014"
"Route_0000000217","Year_2006"
"Route_0000000217","Year_2011"
"Route_0000000218","Year_2006"
"Route_0000000218","Year_2011"
"Route_0000000219","Year_2007"
"Route_0000000219","Year_2011"
"Route_0000000220","Year_2009"
"Route_0000000220","Year_2011"
"Route_0000000221","Year_2006"
"Route_0000000221","Year_2013"
"Route_0000000222","Year_2006"
"Route_0000000222","Year_2012"
"Route_0000000223","Year_2009"
"Route_0000000223","Year_2010"
"Route_0000000224","Year_2007"
"Route_0000000224","Year_2011"
"Route_0000000225","Year_2007"
"Route_0000000225","Year_2008"
"Route_0000000225","Year_2009"
"Route_0000000225","Year_2010"
"Route_0000000225","Year_2011"
"Route_0000000225","Year_2012"
"Route_0000000225","Year_2013"
"Route_0000000225","Year_2014"
"Route_0000000226","Year_2006"
"Route_0000000226","Year_2007"
"Route_0000000226","Year_2008"
"Route_0000000226","Year_2009"
"Route_0000000226","Year_2010"
"Route_0000000226","Year_2011"
"Route_0000000226","Year_2012"
"Route_0000000226","Year_2013"
"Route_0000000226","Year_2014"
"Route_0000000227","Year_2007"
"Route_0000000227","Year_2008"
"Route_0000000227","Year_2009"
"Route_0000000228","Year_2008"
"Route_0000000228","Year_2011"
"Route_0000000229","Year_2008"
"Route_0000000229","Year_2012"
"Route_0000000229","Year_2014"
"Route_0000000230","Year_2008"
"Route_0000000230","Year_2012"
"Route_0000000231","Year_2010"
"Route_0000000231","Year_2012"
"Route_0000000232","Year_2008"
"Route_0000000232","Year_2013"
"Route_0000000233","Year_2007"
"Route_0000000233","Year_2011"
"Route_0000000234","Year_2007"
"Route_0000000234","Year_2012"
"Route_0000000235","Year_2006"
"Route_0000000235","Year_2013"
"Route_0000000236","Year_2006"
"Route_0000000237","Year_2010"
"Route_0000000237","Year_2011"
"Route_0000000237","Year_2012"
"Route_0000000237","Year_2013"
"Route_0000000238","Year_2008"
"Route_0000000238","Year_2010"
"Route_0000000239","Year_2009"
"Route_0000000239","Year_2012"
"Route_0000000240","Year_2009"
"Route_0000000241","Year_2009"
"Route_0000000241","Year_2013"
"Route_0000000242","Year_2006"
"Route_0000000242","Year_2013"
"Route_0000000242","Year_2014"
"Route_0000000243","Year_2006"
"Route_0000000243","Year_2010"
"Route_0000000244","Year_2009"
"Route_0000000244","Year_2010"
"Route_0000000245","Year_2008"
"Route_0000000245","Year_2011"
"Route_0000000246","Year_2007"
"Route_0000000246","Year_2011"
"Route_0000000247","Year_2007"
"Route_0000000248","Year_2007"
"Route_0000000248","Year_2011"
"Route_0000000249","Year_2008"
"Route_0000000249","Year_2010"
"Route_0000000250","Year_2009"
"Route_0000000250","Year_2010"
"Route_0000000251","Year_2008"
"Route_0000000251","Year_2011"
"Route_0000000252","Year_2008"
"Route_0000000252","Year_2011"
"Route_0000000253","Year_2010"
"Route_0000000253","Year_2011"
"Route_0000000254","Year_2010"
"Route_0000000254","Year_2011"
"Route_0000000255","Year_2010"
"Route_0000000256","Year_2010"
"Route_0000000257","Year_2008"
"Route_0000000257","Year_2009"
"Route_0000000257","Year_2010"
"Route_0000000257","Year_2011"
"Route_0000000257","Year_2012"
"Route_0000000257","Year_2013"
"Route_0000000257","Year_2014"
"Route_0000000258","Year_2006"
"Route_0000000258","Year_2008"
"Route_0000000258","Year_2010"
"Route_0000000258","Year_2012"
"Route_0000000258","Year_2014"
"Route_0000000259","Year_2008"
"Route_0000000259","Year_2009"
"Route_0000000259","Year_2010"
"Route_0000000259","Year_2011"
"Route_0000000260","Year_2006"
"Route_0000000260","Year_2008"
