route;x;y
1320;4336800;4297600
1321;4408900;4303100
1322;4389500;4319600
1323;4407500;4321000
1324;4316000;4332000
1325;4352100;4334700
1326;4370100;4336200
1327;4406200;4338800
1328;4424200;4340200
1329;4314700;4349900
1330;4368700;4354000
1331;4404700;4356700
1332;4331300;4369100
1333;4367300;4371900
1334;4329900;4387000
1335;4347900;4388400
1336;4365900;4389700
1337;4367200;4138000
1338;4365800;4155900
1339;4310500;4169800
1340;4291100;4186300
1341;4326900;4188900
1342;4325700;4206900
1343;4252300;4219200
1344;4270400;4220600
1345;4288400;4222000
1346;4324400;4224800
1347;4287000;4239900
1348;4305000;4241300
1349;4323000;4242600
1350;4341000;4244000
1351;4359000;4245400
1352;4285600;4257800
1353;4321600;4260500
1354;4357600;4263300
1355;4249900;4274000
1356;4284300;4275500
1357;4264800;4292100
1358;4282800;4293500
1359;4300800;4294900
1360;4318800;4296300
